,artist_name,track_name,track_id,popularity
988,KAROL G,Pineapple,4ZD1dfq9IGNs3MySaACR7P,0
989,THE YELLOW MONKEY,Holy Sea and Sunshine - 2022 Remaster,25zxRo8nrcKu0G3fITjVBK,4
990,KAROL G,"Ay, DiOs Mío!",2aiz5ncs5ZX0xx1lcgSzfG,0
991,Adam Melchor,Light Year,77DuSof6byFKaFeIXktYN6,0
992,KAROL G,A Ella,6EcBxvXZ876cvMRkwA7MCp,0
993,THE YELLOW MONKEY,The Sun Is Burning - 2022 Remaster,10L4lgkOgvyGHcddFWebed,6
994,KAROL G,BICHOTA,5ZrTRwnU0eMFtE8wNVcAu4,0
995,Royal Blues New Town,Blue Monday in the UK 2022,4BjSM0FfFTFPZAYDzpuumf,0
996,KAROL G,Créeme,5n1aVGD0bnCQ6VoVTygyzB,0
997,ABBA,Happy New Year,5kwM5krxMnNycKBNaFVrLY,3
998,KAROL G,"Ay, DiOs Mío!",68rmVWPaGJkMs2wvPwjVkL,0
999,Frank Wizardd,Seven Years After,0QfobC8yGsc08NBisF7QGp,0
